OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Footprint Eagle;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM
FOOTPRINT;kicad;kicad-footprints;Inductor_THT;L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200;FOOTPRINT-kicad-kicad-footprints-Inductor_THT-L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200;FZKINLTOROIDHORIZONTALD28P2667BOURNS22;Inductor_THT : L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200;;;;;;;;;;;;;;{'name': 'L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200', 'description': 'L_Toroid, Horizontal series, Radial, pin pitch=26.67mm, , diameter=28mm, Bourns, 2200, http://www.bourns.com/docs/Product-Datasheets/2100_series.pdf?sfvrsn=3', 'tags': 'L_Toroid Horizontal series Radial pin pitch 26.67mm  diameter 28mm Bourns 2200', 'attributeType': 'through_hole', 'threeDModel': '${KICAD6_3DMODEL_DIR}/Inductor_THT.3dshapes/L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200.wrl', 'pins': {'type': 'thru_hole', 'shape': 'circle'}};;;;;;;;;
