CSV Line for;FOOTPRINT-kicad-kicad-footprints-Package_DFN_QFN-UDFN-9_1.0x3.8mm_P0.5mm;Package_DFN_QFN : UDFN-9_1.0x3.8mm_P0.5mm
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;OOMP Parts List;
"FOOTPRINT";"kicad";"kicad-footprints";"Package_DFN_QFN";"UDFN-9_1.0x3.8mm_P0.5mm";"FOOTPRINT-kicad-kicad-footprints-Package_DFN_QFN-UDFN-9_1.0x3.8mm_P0.5mm";"FZKDFNUDFN91X38P5";"Package_DFN_QFN : UDFN-9_1.0x3.8mm_P0.5mm";;;;;;;;;;;;;;"{'name': 'UDFN-9_1.0x3.8mm_P0.5mm', 'description': '9-pin UDFN package, 1.0x3.8mm, (Ref: https://katalog.we-online.de/pbs/datasheet/824014881.pdf)', 'tags': 'UDFN SMD', 'attributeType': 'smd', 'threeDModel': '${KICAD6_3DMODEL_DIR}/Package_DFN_QFN.3dshapes/UDFN-9_1.0x3.8mm_P0.5mm.wrl', 'pins': {'type': 'smd', 'shape': 'rect'}}";;;;
