OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Footprint Eagle;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM
"""FOOTPRINT""";"""kicad""";"""digikey-kicad-library""";"""digikey-footprints""";"""SIP-3_P2.54mm_OKI-78SR-5_1.5-W36-C""";"""FOOTPRINT-kicad-digikey-kicad-library-digikey-footprints-SIP-3_P2.54mm_OKI-78SR-5_1.5-W36-C""";"""FZKICADDIGIKEYKICADLIBRARYDIGIKEYFOOTPRINTSSIP3P254OKI78SR515W36C""";"""digikey-footprints : SIP-3_P2.54mm_OKI-78SR-5_1.5-W36-C""";;;;;;;;;;;;;;"""{'name': 'SIP-3_P2.54mm_OKI-78SR-5_1.5-W36-C', 'description': 'https://power.murata.com/data/power/oki-78sr.pdf', 'tags': None, 'attributeType': None, 'pins': {'type': 'thru_hole', 'shape': 'rect'}}""";;;;;;;;;
