OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Footprint Eagle;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;Symbol Eagle;Symbol Eagle Details;Match Special;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM
FOOTPRINT;kicad;kicad-footprints;Transformer_THT;Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50;FOOTPRINT-kicad-kicad-footprints-Transformer_THT-Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50;FZKTRTRTOROIDHORIZONTALD14AMIDONT5;Transformer_THT : Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50;;;;;;;;;;;;;;{'name': 'Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50', 'description': 'Transformer, Toroid, horizontal, laying, Diameter 14mm, Amidon T50,', 'tags': 'Transformer Toroid horizontal laying Diameter 14mm Amidon T50 ', 'attributeType': 'through_hole', 'threeDModel': '${KICAD6_3DMODEL_DIR}/Transformer_THT.3dshapes/Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50.wrl', 'pins': {'type': 'thru_hole', 'shape': 'circle'}};;;;;;;;;;
