CSV Line for;FOOTPRINT-kicad-kicad-footprints-Mounting_Wuerth-Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982;Mounting_Wuerth : Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;OOMP Parts List;OOMP Instances;Parts as pulled from a BOM;
"FOOTPRINT";"kicad";"kicad-footprints";"Mounting_Wuerth";"Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982";"FOOTPRINT-kicad-kicad-footprints-Mounting_Wuerth-Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982";"FZKMONMONWASMST45H197741982";"Mounting_Wuerth : Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982";;;;;;;;;;;;;;"{'name': 'Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982', 'description': 'Mounting Hardware, inside through hole 4.5mm, height 10, Wuerth electronics 9774100982 (https://katalog.we-online.de/em/datasheet/9774100982.pdf), generated with kicad-footprint-generator', 'tags': 'Mounting 4.5mm 9774100982', 'attributeType': 'smd', 'threeDModel': '${KICAD6_3DMODEL_DIR}/Mounting_Wuerth.3dshapes/Mounting_Wuerth_WA-SMST-4.5mm_H10mm_9774100982.wrl', 'pins': {'type': 'smd', 'shape': 'custom'}}";;;;;;
