CSV Line for;FOOTPRINT-kicad-kicad-footprints-Connector_Audio-Jack_3.5mm_PJ320D_Horizontal;Connector_Audio : Jack_3.5mm_PJ320D_Horizontal
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;OOMP Parts List;
"FOOTPRINT";"kicad";"kicad-footprints";"Connector_Audio";"Jack_3.5mm_PJ320D_Horizontal";"FOOTPRINT-kicad-kicad-footprints-Connector_Audio-Jack_3.5mm_PJ320D_Horizontal";"FZKCNAUDIOJ35PJ32DHORIZONTAL";"Connector_Audio : Jack_3.5mm_PJ320D_Horizontal";;;;;;;;;;;;;;"{'name': 'Jack_3.5mm_PJ320D_Horizontal', 'description': 'Headphones with microphone connector, 3.5mm, 4 pins (http://www.qingpu-electronics.com/en/products/WQP-PJ320D-72.html)', 'tags': '3.5mm jack mic microphone phones headphones 4pins audio plug', 'attributeType': 'smd', 'threeDModel': '${KICAD6_3DMODEL_DIR}/Connector_Audio.3dshapes/Jack_3.5mm_PJ320D_Horizontal.wrl', 'pins': {'type': 'np_thru_hole', 'shape': 'circle'}}";;;;
